Amount Pending,State,Tenure,Interest Rate,City,Bounce String,Disbursed Amount,Loan Number
1007,Karnataka,11,5.26,BANGALORE RURAL,SS,10791,17DU0
1040,Karnataka,11,7.1,Mysore,SS,11044,7ILOL
1915,Karnataka,10,5.33,Mandya,BB,18690,ZKM2V
1475,Karnataka,10,4.66,Mysore,BS,14440,45AQA
1041,Karnataka,10,5.77,Bellary,SS,10140,ALCUU
1960,Karnataka,11,4.46,Belgaum,SS,21087,IZ4YT
3340,Karnataka,11,5.81,DAKSHINA KANNADA,SS,35695,EP26Y
1679,Karnataka,11,5.22,Mandya,SS,17996,656RM
2209,Karnataka,10,5.02,Bagalkot,SS,21590,1STMT
1883,Karnataka,11,4.64,Dharwad,SS,20240,4KKN7
2053,Karnataka,10,5.41,Bijapura,SS,20030,I9SI4
1960,Karnataka,11,4.46,Bellary,SS,21087,96TJP
1349,Karnataka,11,5.44,KOPPAL,SS,14443,HFV9Z
1372,Karnataka,11,6.41,Mandya,BS,14619,2IQ3H
1100,Karnataka,11,4.43,Bangalore,SS,11836,BKBIJ
1455,Karnataka,11,5.18,Bangalore,SS,15598,C2ZFS
1781,Karnataka,11,4.91,Mysore,BS,19118,APEZ4
3646,Karnataka,11,5.31,Bangalore,SS,39061,7W41Y
1543,Karnataka,11,4.88,Bangalore,BS,16566,OGK76
1679,Karnataka,11,5.22,KOPPAL,SS,17996,IRE12
2915,Karnataka,10,3.94,Dharwad,SS,28630,NJ295
1349,Karnataka,11,5.44,BANGALORE RURAL,SS,14443,U5NAI
1716,Karnataka,14,4.47,Bangalore,BB,23366,MVZ3V
1781,Karnataka,11,4.91,Bagalkot,BS,19118,7Z6CJ
1669,Karnataka,10,6.14,Dharwad,BS,16230,XLPXB
1889,Karnataka,10,5.41,BANGALORE RURAL,SS,18430,GZIVZ
2006,Karnataka,11,5.8,Bangalore,BB,21439,94VWU
2203,Karnataka,14,4.52,Hassan,SS,29988,S9FH5
1277,Karnataka,11,5.92,Bangalore,BB,13640,H8SW4
2451,Karnataka,10,4.7,Bangalore,SS,23990,F7BQ9
1354,Karnataka,11,5.58,Belgaum,SS,14487,FC53S
1543,Karnataka,11,4.88,DAKSHINA KANNADA,SS,16566,MU59C
1543,Karnataka,11,4.88,Kodagu,SS,16566,Y4612
2519,Karnataka,14,3.94,Bijapura,SS,34412,J4WVF
2915,Karnataka,10,3.94,Bangalore,SB,28630,L9BQK
1620,Karnataka,11,4.64,BANGALORE RURAL,SS,17413,OVTMU
1729,Karnataka,10,6.45,BANGALORE RURAL,SS,16790,T6XC3
1520,Karnataka,14,5.06,Kodagu,SS,20622,L7PZ0
1716,Karnataka,14,4.47,Chikkaballapur,SS,23366,8LA9D
1802,Karnataka,14,5.55,Gulbarga,BS,24374,XLOS2
2089,Karnataka,10,5.31,Bangalore,SS,20390,8CLY4
1781,Karnataka,11,4.91,Bagalkot,SS,19118,J8C0S
933,Karnataka,11,6.36,Tumkur,SS,9944,K97WE
954,Karnataka,11,6.88,Mysore,SS,10142,EDPSF
954,Karnataka,11,6.88,Chikkaballapur,SS,10142,PCWV0
1611,Karnataka,10,5.38,Bangalore,SB,15720,T5G4F
2831,Karnataka,10,4.06,Bangalore,BS,27790,TLT6E
1100,Karnataka,11,6.9,Bangalore,BB,11693,999GH
1524,Karnataka,14,5.05,Belgaum,SB,20678,JCU0T
1618,Karnataka,14,4.75,Bangalore,SS,21994,6HB7Q
2337,Karnataka,14,4.26,Belgaum,SS,31864,1SYG2
2519,Karnataka,14,3.94,Bangalore,BB,34412,DO6AB
2755,Karnataka,10,4.18,Dharwad,SS,27030,QGKK0
1117,Karnataka,11,6.6,Mysore,SS,11891,RKKFT
2375,Karnataka,11,4.88,Bangalore,SS,25498,QUSBJ
3340,Karnataka,11,5.81,Chikkaballapur,SS,35695,E9IDC
2238,Karnataka,11,5.19,Uttara Kannada,SS,23991,LZCIZ
952,Karnataka,11,6.45,Chikkaballapur,SS,10142,EQJ06
3340,Karnataka,11,5.81,CHAMRAJNAGAR,SB,35695,J86GT
2771,Karnataka,10,4.15,Bangalore,SB,27190,7VVPO
1277,Karnataka,11,5.92,Bellary,S,13640,LGGFR
1031,Karnataka,11,6.35,Belgaum,B,10989,YAU7L
1117,Karnataka,11,6.6,Chikkaballapur,S,11891,MSHKB
2831,Karnataka,10,4.06,Bangalore,S,27790,F9PN8
819,Karnataka,11,5.99,Shimoga,S,8745,TCOT2
2915,Karnataka,10,3.94,Tumkur,B,28630,H2JGE
1194,Karnataka,11,6.16,Bijapura,S,12738,J4FDM
1770,Karnataka,11,6,CHAMRAJNAGAR,S,18898,RDG1P
1152,Karnataka,11,5.67,BANGALORE RURAL,S,12320,UONTL
1998,Karnataka,14,4.08,Mysore,S,27272,F1P24
1781,Karnataka,11,4.91,Shimoga,S,19118,WJ3LY
1109,Karnataka,10,5,Gulbarga,B,10840,5M6TU
2771,Karnataka,10,4.15,Bangalore,S,27190,8Z39H
1620,Karnataka,11,5.41,Dharwad,S,17347,B7F9K
856,Karnataka,11,6.95,Shimoga,S,9097,8N6X5
1455,Karnataka,11,5.18,UDUPI,S,15598,TCXYG
2611,Karnataka,10,4.41,Bangalore,S,25590,XCE5H
819,Karnataka,11,5.99,Mandya,B,8745,F1V4W
2337,Karnataka,14,4.26,Davangere,S,31864,8.00E+01
1041,Karnataka,10,5.77,Bangalore,S,10140,DLSX3
1041,Karnataka,10,5.77,Bangalore,S,10140,LUZT8
1543,Karnataka,11,4.88,Kodagu,S,16566,D106C
1125,Karnataka,10,5.33,Uttara Kannada,S,10980,IOY61
1559,Karnataka,10,4.4,HAVERI,S,15280,WNIH7
1354,Karnataka,11,5.58,BANGALORE RURAL,S,14487,S5S45
6050,Karnataka,14,5.64,Bellary,S,81788,C8RZI
1474,Karnataka,11,5.96,BANGALORE RURAL,S,15741,LO2BY
2250,Karnataka,10,4.93,Bangalore,S,22000,KMQUQ
1277,Karnataka,11,5.92,Bijapura,S,13640,EBPPH
2089,Karnataka,10,5.31,Bangalore,S,20390,RBXUK
932,Karnataka,10,5.48,Bagalkot,B,9090,3FOKN
6166,Karnataka,17,6.35,Bangalore,S,99994,5KSIV
2451,Karnataka,10,4.7,KOPPAL,S,23990,I0ARZ
1781,Karnataka,11,4.91,Bangalore,S,19118,UIXKY
1813,Karnataka,10,6.14,Mandya,B,17630,Y9373
1543,Karnataka,11,4.88,Davangere,B,16566,F9GL6
2451,Karnataka,10,4.7,Tumkur,S,23990,ORCKQ
2089,Karnataka,10,5.31,DAKSHINA KANNADA,S,20390,FJ3U5
1543,Karnataka,11,4.88,Belgaum,S,16566,OSZVA
1277,Karnataka,11,5.92,Bellary,S,13640,1HN3Z
1041,Karnataka,10,5.77,Chikkaballapur,S,10140,1STPP
1813,Karnataka,10,6.14,Gulbarga,B,17630,LWPJF
856,Karnataka,11,6.95,Mysore,S,9097,MMACL
1186,Karnataka,10,5.05,Gulbarga,S,11590,6V6HO
5208,Karnataka,14,6.58,Bangalore,B,70000,J1FB1
2375,Karnataka,11,4.88,Bangalore,S,25498,A5FCY
1543,Karnataka,11,4.88,BANGALORE RURAL,S,16566,6DHL1
797,Karnataka,11,7.47,GADAG,S,8448,ANKME
1475,Karnataka,10,4.66,Bangalore,S,14440,FNOJG
1455,Karnataka,11,5.18,Dharwad,S,15598,YPEGA
4401,Karnataka,17,9.02,Bangalore,S,69989,NWAD1
1551,Karnataka,11,5.66,Dharwad,S,16588,H2SE7
1277,Karnataka,11,5.92,BANGALORE RURAL,S,13640,9CW3F
1543,Karnataka,11,4.88,Belgaum,S,16566,ABKCD
1272,Karnataka,11,5.78,Bangalore,B,13596,BSP77
1915,Karnataka,10,5.33,Bangalore,S,18690,ACFA7
1277,Karnataka,11,5.92,Bangalore,S,13640,PK810
1801,Karnataka,10,6.44,Mysore,S,17490,7MXC2
757,Karnataka,11,7.04,Bangalore,S,8041,P0VE5
2089,Karnataka,10,5.31,Bangalore,S,20390,HWJ4T
1543,Karnataka,11,4.88,Bangalore,S,16566,1X5W4
1189,Karnataka,11,6.37,Mysore,S,12672,MQ7BU
845,Karnataka,11,4.57,Gulbarga,S,9086,91UM2
1189,Karnataka,11,6.37,Chikkaballapur,S,12672,8824G
3029,Karnataka,11,4.77,DAKSHINA KANNADA,S,32538,JKCP3
2015,Karnataka,11,5.26,Bangalore,S,21593,4GS90
1455,Karnataka,11,5.18,Gulbarga,S,15598,7MREC
2176,Karnataka,10,5.31,Chitradurga,B,21240,WGE39
1933,Karnataka,11,5.92,Dharwad,S,20647,J5SPB
1551,Karnataka,11,5.66,Bangalore,S,16588,RO8G6
1100,Karnataka,11,6.9,Mysore,B,11693,RPXUY
655,Karnataka,11,5.93,Bagalkot,B,6996,DVJZR
2798,Karnataka,11,5.17,Bagalkot,S,29997,7BNEK
2798,Karnataka,11,5.17,Bijapura,S,29997,SDMHJ
2307,Karnataka,11,4.58,Dharwad,S,24805,MLXPR
2488,Karnataka,11,5.58,Dharwad,S,26620,WRR69
2968,Karnataka,11,4.87,Bangalore,S,31867,OUMFU
856,Karnataka,11,6.95,Bangalore,S,9097,JVFBT
1423,Karnataka,11,5.3,Dharwad,B,15246,I5KLO
2176,Karnataka,11,4.86,BANGALORE RURAL,S,23364,OUKS6
1354,Karnataka,11,5.58,BANGALORE RURAL,S,14487,SU951
1117,Karnataka,11,6.6,Bangalore,S,11891,VPQ6W
2327,Karnataka,11,5.97,Mandya,S,24849,8Q5XQ
2332,Karnataka,11,4.89,Bangalore,B,25036,T1884
1551,Karnataka,11,5.66,Bangalore,S,16588,56DH5
2335,Karnataka,11,4.88,Mysore,S,25069,UMJDD
1193,Karnataka,10,4.64,BANGALORE RURAL,S,11680,F32RP
1966,Karnataka,11,5.92,Bangalore,S,20999,0LLMT
1304,Karnataka,10,5.28,Kodagu,S,12730,7H1HG
1543,Karnataka,11,4.88,Bellary,S,16566,7BB71
2234,Karnataka,11,5.11,Bangalore,B,23958,5DKI5
1805,Karnataka,10,5.67,Bangalore,S,17590,FXCBT
1220,Karnataka,10,5.65,BANGALORE RURAL,S,11890,K05FF
1041,Karnataka,10,5.77,Bangalore,S,10140,A7040
757,Karnataka,11,7.04,Raichur,S,8041,IK4W3
1349,Karnataka,11,5.44,Bidar,S,14443,G9D2I
2145,Karnataka,11,4.94,Mysore,S,23023,97QWD
2103,Karnataka,11,5.43,Shimoga,S,22517,XCJWA
1543,Karnataka,11,4.88,Bangalore,S,16566,8PIHL
2968,Karnataka,11,4.87,Belgaum,S,31867,XFJWR
1945,Karnataka,11,5.45,Davangere,S,20823,AJAXO
1611,Karnataka,11,6.61,DAKSHINA KANNADA,S,17149,MUDHL
2103,Karnataka,11,5.43,DAKSHINA KANNADA,S,22517,8DAH6
1054,Karnataka,11,7,Chitradurga,S,11198,YOYW3
1611,Karnataka,11,6.61,BANGALORE RURAL,S,17149,RPTS4
1873,Karnataka,11,6.11,BANGALORE RURAL,S,19987,AVS3J
1266,Karnataka,11,5.97,Bangalore,S,13519,HUBUR
1354,Karnataka,11,5.58,Bangalore,S,14487,Y8DTJ
891,Karnataka,11,7.38,KOPPAL,B,9449,ISTK7
1889,Karnataka,10,5.89,BANGALORE RURAL,S,18390,AA6CN
2103,Karnataka,11,5.43,Mandya,S,22517,SMN1Y
1054,Karnataka,11,7,Bangalore,S,11198,S24AZ
933,Karnataka,10,5.72,Bijapura,B,9090,4HD3Z
2303,Karnataka,11,4.95,Bangalore,S,24717,I7ZZZ
1945,Karnataka,11,5.45,Bijapura,S,20823,OEZDH
1075,Karnataka,11,6.08,Shimoga,S,11473,3I3A6
1277,Karnataka,11,5.92,Mysore,S,13640,TGK5U
1945,Karnataka,11,5.45,Bijapura,S,20823,SHKE9
1126,Karnataka,11,6.55,Bangalore,S,11990,PYXE4
954,Karnataka,11,5.78,Gulbarga,S,10197,VCWGI
1945,Karnataka,11,5.45,Belgaum,S,20823,NYF6I
1781,Karnataka,11,4.91,Bidar,S,19118,3QSZE
1150,Karnataka,11,5.32,Bangalore,FEMI,12320,V2N62
1054,Karnataka,11,7,Bellary,FEMI,11198,ULWKS
1131,Karnataka,11,6.52,Bangalore,FEMI,12045,MEQ0B
856,Karnataka,11,6.95,Chikkaballapur,FEMI,9097,XNMHI
1310,Karnataka,10,5.25,DAKSHINA KANNADA,FEMI,12790,FL264
2004,Karnataka,10,5.54,Mysore,FEMI,19540,1UI83
1551,Karnataka,11,5.66,Bijapura,FEMI,16588,WOFSN
1858,Karnataka,11,4.71,DAKSHINA KANNADA,FEMI,19965,65EQJ
2088,Karnataka,10,5.32,Gulbarga,FEMI,20380,BH9E9
3340,Karnataka,11,5.81,BANGALORE RURAL,FEMI,35695,UUY1Q
522,Karnataka,11,12.83,Bagalkot,FEMI,5390,587TX
2798,Karnataka,11,5.17,Tumkur,FEMI,29997,S8D8V
1983,Karnataka,11,5.77,Bangalore,FEMI,21197,VSES7
1742,Karnataka,11,6.58,Bangalore,FEMI,18546,X4U1H
2234,Karnataka,11,5.11,Bangalore,FEMI,23958,BWB4A
1945,Karnataka,11,5.45,BANGALORE RURAL,FEMI,20823,NJGC2
1983,Karnataka,11,5.77,Mandya,FEMI,21197,D53PM
2103,Karnataka,11,5.43,Mysore,FEMI,22517,X06P3
1563,Karnataka,10,4.82,Mysore,FEMI,15290,DV12D
1611,Karnataka,11,6.61,Bangalore,FEMI,17149,HJ5EM
1945,Karnataka,11,5.45,Mysore,FEMI,20823,EL7AY
2968,Karnataka,11,4.87,Bangalore,FEMI,31867,YL4DG
1272,Karnataka,11,5.78,Raichur,FEMI,13596,LN642
952,Karnataka,11,6.45,Dharwad,FEMI,10142,67LCI
1344,Karnataka,11,5.31,DAKSHINA KANNADA,FEMI,14399,TF2OY
891,Karnataka,11,7.38,Mysore,FEMI,9449,8OAJT
2968,Karnataka,11,4.87,Uttara Kannada,FEMI,31867,VPDNK
1051,Karnataka,11,5.63,Bangalore,FEMI,11242,ABV4K
1543,Karnataka,11,4.88,Gulbarga,FEMI,16566,LTOYM
1945,Karnataka,11,5.45,Bangalore,FEMI,20823,QWW40
1354,Karnataka,11,5.58,HAVERI,FEMI,14487,0TG2F
1277,Karnataka,11,5.92,Mysore,FEMI,13640,VV5UT
1742,Karnataka,11,6.1,BANGALORE RURAL,FEMI,18590,9O6F8
1620,Karnataka,11,4.64,Belgaum,FEMI,17413,9AVBF
1257,Karnataka,11,5.68,Mysore,FEMI,13442,K812Q
996,Karnataka,10,4.22,Mysore,FEMI,9770,DARNN
1611,Karnataka,11,6.61,Mysore,FEMI,17149,RD0WM
1659,Karnataka,10,6.72,Mandya,FEMI,16090,4GLXT
1425,Karnataka,11,5,Gulbarga,FEMI,15290,4TBZB
1199,Karnataka,11,6.14,Bangalore,FEMI,12793,TN65N
3199,Karnataka,11,4.51,BANGALORE RURAL,FEMI,34408,F7MQK
1543,Karnataka,11,4.88,Mysore,FEMI,16566,GPSSG
1945,Karnataka,11,5.45,Shimoga,FEMI,20823,WBMPO
1543,Karnataka,11,4.88,UDUPI,FEMI,16566,UMU2G
1150,Karnataka,11,5.32,Uttara Kannada,FEMI,12320,1Z6CL
1054,Karnataka,11,7,Bangalore,FEMI,11198,X8U6Z
3199,Karnataka,11,4.51,Bangalore,FEMI,34408,AP29P
1543,Karnataka,11,4.88,BANGALORE RURAL,FEMI,16566,2MUFU
1277,Karnataka,11,5.92,Bangalore,FEMI,13640,M2448
1033,Karnataka,11,5.73,Bangalore,FEMI,11044,QH0Q2
1474,Karnataka,11,5.96,BANGALORE RURAL,FEMI,15741,5CGK4
1455,Karnataka,11,5.18,BANGALORE RURAL,FEMI,15598,QTZ5R
3149,Karnataka,11,6.17,Bangalore,FEMI,33594,K6I6Y
1474,Karnataka,10,4.66,Dharwad,FEMI,14430,QZR6Z
1945,Karnataka,11,5.45,Mysore,FEMI,20823,8JZSJ
1801,Karnataka,10,6.44,Bangalore,FEMI,17490,IRHQ6
1090,Karnataka,11,6,Bangalore,FEMI,11638,5Y46L
1945,Karnataka,11,5.45,Chitradurga,FEMI,20823,NFF7R
1455,Karnataka,11,5.18,Mandya,FEMI,15598,L5ND6
1659,Karnataka,10,6.72,Bangalore,FEMI,16090,JMU9V
856,Karnataka,11,6.95,Bangalore,FEMI,9097,TM5KS
2968,Karnataka,11,4.87,BANGALORE RURAL,FEMI,31867,WXGZB
1234,Karnataka,10,5.58,Bijapura,FEMI,12030,GVDND
1801,Karnataka,10,6.44,Mysore,FEMI,17490,VLC3B
1833,Karnataka,11,5.79,Bangalore,FEMI,19591,0ZHL1
1054,Karnataka,11,7,Bangalore,FEMI,11198,8AS7N
1502,Karnataka,11,4.74,Bangalore,FEMI,16137,E03N0
1983,Karnataka,11,5.77,DAKSHINA KANNADA,FEMI,21197,WR6SY
1029,Karnataka,11,5.96,Bangalore,FEMI,10989,EK35I
1277,Karnataka,11,5.92,Davangere,FEMI,13640,6Q70Z
1257,Karnataka,11,5.68,Bangalore,FEMI,13442,1VDA0
1543,Karnataka,11,4.88,Belgaum,FEMI,16566,IORL9
876,Karnataka,11,6.31,Belgaum,FEMI,9339,FJZ9A
1054,Karnataka,11,7,Bangalore,FEMI,11198,1PJG9
891,Karnataka,11,7.38,Bellary,FEMI,9449,64YN8
1945,Karnataka,11,5.45,Bellary,FEMI,20823,OGDJ2
1611,Karnataka,11,6.61,Mysore,FEMI,17149,NNH87
1620,Karnataka,11,4.64,Bangalore,FEMI,17413,OXVGW
1543,Karnataka,11,4.88,Mysore,FEMI,16566,C3SCY
3045,Karnataka,11,4.74,Dharwad,FEMI,32714,89WS7
1853,Karnataka,11,5.73,Dharwad,FEMI,19811,9KID1
1354,Karnataka,11,5.58,Davangere,FEMI,14487,A6M48
1277,Karnataka,11,5.92,Mandya,FEMI,13640,42AI4
1611,Karnataka,11,6.61,Bangalore,FEMI,17149,QP3WL
1611,Karnataka,11,6.61,Hassan,FEMI,17149,PA0BX
757,Karnataka,11,7.04,Dharwad,FEMI,8041,DIFA6
1425,Karnataka,11,5,Bagalkot,FEMI,15290,4ET3H
1502,Karnataka,11,4.74,Bangalore,FEMI,16137,WIRAN
1983,Karnataka,11,5.77,Bangalore,FEMI,21197,VVKI5
3340,Karnataka,11,5.81,Kolar,FEMI,35695,0XWS6
1199,Karnataka,11,6.14,Shimoga,FEMI,12793,XTUNR
1519,Karnataka,10,7.36,Bijapura,FEMI,14690,G2VG6
1039,Karnataka,10,5.34,Yadgir,FEMI,10140,DF680
1679,Karnataka,11,5.22,BANGALORE RURAL,FEMI,17996,2SIL4
952,Karnataka,11,6.45,Mysore,FEMI,10142,527QQ
1054,Karnataka,11,7,Belgaum,FEMI,11198,OP16J
901,Madhya Pradesh,7,18.1,Vidisha,LSSBBS,5943,ZVXZB
751,Madhya Pradesh,7,21.92,Rewa,LSSSSS,4893,ZCGBR
901,Madhya Pradesh,7,18.1,Damoh,LSBSSS,5943,QEMGC
751,Madhya Pradesh,7,21.92,Sidhi,LBSSSS,4893,HYZZD
751,Madhya Pradesh,7,21.92,Chhatarpur,LSSSSS,4893,T03EE
751,Madhya Pradesh,7,21.92,Indore,LSBSSS,4893,EA9ZR
751,Madhya Pradesh,7,21.92,Hoshangabad,LSSSSS,4893,73H7R
785,Madhya Pradesh,7,20.92,Bhopal,BSSBBB,5131,SN7VL
785,Madhya Pradesh,7,20.92,Shivpuri,LSSBSB,5131,N8TRB
751,Madhya Pradesh,7,21.92,Sagar,LBBSBB,4893,TE0EU
835,Madhya Pradesh,7,19.61,Vidisha,LSSSSS,5481,P0SJA
901,Madhya Pradesh,7,18.1,Raisen,LSSSSS,5943,QQZLL
751,Madhya Pradesh,7,21.92,Indore,LSSBSS,4893,1PCZO
751,Madhya Pradesh,7,21.92,Chhatarpur,LSSSBB,4893,VKKQB
751,Madhya Pradesh,7,21.92,Sagar,LSSSSS,4893,19BT3
751,Madhya Pradesh,7,21.92,Sehore,LSSSSS,4893,96BZL
901,Madhya Pradesh,7,18.1,Gwalior,LSSSSS,5943,Z9H35
835,Madhya Pradesh,7,19.61,Chhatarpur,LSSSSS,5481,WHGOL
985,Madhya Pradesh,7,16.5,Ratlam,LSBSBS,6531,RW4IH
751,Madhya Pradesh,7,21.92,Mandsaur,LSSSSS,4893,RND0T
985,Madhya Pradesh,7,16.5,Raisen,LBBBBB,6531,URHU2
901,Madhya Pradesh,7,18.1,Damoh,LSSSSS,5943,LGLI9
835,Madhya Pradesh,7,19.61,Vidisha,LSSSSS,5481,VX55F
935,Madhya Pradesh,7,17.42,Chhatarpur,LBBBBB,6181,DD4K9
751,Madhya Pradesh,7,21.92,Chhatarpur,LSSSSS,4893,JZ8JG
751,Madhya Pradesh,7,21.92,Datia,LBSSBS,4893,51QP7
751,Madhya Pradesh,7,21.92,Neemuch,LSSSSS,4893,1CL2C
751,Madhya Pradesh,7,21.92,Dhar,LBBSSB,4893,DPBFN
801,Madhya Pradesh,7,20.48,East Nimar,LSBBBS,5243,AULKP
835,Madhya Pradesh,7,19.61,Dhar,LSSSSS,5481,EDUQD
701,Madhya Pradesh,7,23.58,Raisen,LSSSSS,4543,BPJ6L
904,Madhya Pradesh,8,22.92,Bhopal,LSSSSS,6648,5N2NQ
801,Madhya Pradesh,7,20.48,Chhatarpur,LSBBSS,5243,SR4AZ
751,Madhya Pradesh,7,21.92,Sagar,LSSSBS,4893,PDQSZ
851,Madhya Pradesh,7,19.22,Raisen,LSSSSS,5593,VN70K
751,Madhya Pradesh,7,21.92,Bhopal,LSHSSB,4893,OMBHI
751,Madhya Pradesh,7,21.92,Hoshangabad,LBSBBS,4893,B5XUA
751,Madhya Pradesh,7,21.92,Sagar,LSSSSS,4893,N1CV0
751,Madhya Pradesh,7,21.92,Khandwa,LSSSSS,4893,DFHB4
751,Madhya Pradesh,7,21.92,Bhopal,LSSSBB,4893,TQ48D
751,Madhya Pradesh,7,21.92,Chhatarpur,LSSSSS,4893,9TJAX
701,Madhya Pradesh,7,23.58,Sagar,SSSSSB,4543,5ZJEZ
701,Madhya Pradesh,7,23.58,Bhopal,SSSBSB,4543,F1FZM
851,Madhya Pradesh,7,19.22,Sagar,SSSSS,5593,TU6BN
751,Madhya Pradesh,7,21.92,Jabalpur,SSSSS,4893,DBM69
901,Madhya Pradesh,7,18.1,Guna,SBBBB,5943,IWUOH
751,Madhya Pradesh,7,21.92,Indore,BBBSS,4893,UTCSY
844,Madhya Pradesh,8,24.66,Rewa,SBBBB,6168,14EEX
701,Madhya Pradesh,7,23.58,Tikamgarh,BBBBS,4543,LN99C
801,Madhya Pradesh,7,20.48,Hoshangabad,BBSSS,5243,D2YVE
901,Madhya Pradesh,7,18.1,Chhatarpur,SSSSS,5943,LNU72
